id,year,month,day,hour,minute,second,latitude,longitude,depth,magnitude
1,2011,10,12,12,21,2.08,39.58171,-120.38488,33.459,0.66
2,2011,10,12,12,53,9.111,39.58113,-120.38343,33.362,0.5
3,2011,10,12,21,55,22.328,39.58042,-120.38065,33.48,0.63
4,2011,10,13,5,33,23.254,39.57991,-120.38027,33.594,0.25
5,2011,10,14,14,5,19.094,39.57652,-120.38169,33.44,0.55
6,2011,10,14,14,16,28.384,39.5771,-120.3806,33.363,1.88
7,2011,10,19,6,58,22.724,39.58621,-120.38531,33.559,0.38
8,2011,10,19,10,49,57.99,39.58567,-120.38503,33.576,0.89
9,2011,10,19,12,54,51.808,39.58613,-120.38573,33.513,0.76
10,2011,10,19,13,27,56.187,39.58629,-120.38547,33.539,0.94
11,2011,10,19,16,7,54.223,39.58372,-120.38771,33.385,0.76
12,2011,10,19,16,36,59.038,39.58502,-120.38668,33.397,0.79
13,2011,10,19,17,22,2.072,39.58208,-120.38723,33.316,0.66
14,2011,10,19,20,48,10.596,39.58362,-120.38671,33.471,0.59
15,2011,10,19,21,28,21.59,39.58412,-120.38615,33.556,0.56
16,2011,10,20,7,24,36.48,39.58581,-120.38622,33.527,0.7
17,2011,10,20,10,42,35.317,39.58483,-120.38611,33.519,0.86
18,2011,10,20,18,41,56.412,39.58549,-120.38667,33.472,1.1
19,2011,10,20,19,2,51.859,39.58283,-120.38598,33.518,0.83
20,2011,10,20,19,29,30.907,39.5832,-120.38526,33.331,0.4
21,2011,10,20,19,45,39.3,39.58224,-120.38616,33.438,0.64
22,2011,11,8,8,29,0.443,39.56907,-120.37742,33.219,1.21
23,2011,11,8,10,11,24.792,39.56872,-120.37852,33.172,0.88
24,2011,11,11,10,25,16.414,39.56345,-120.38058,32.964,0.64
25,2011,11,11,10,46,11.657,39.56503,-120.37873,32.938,1.73
26,2011,11,11,11,17,31.748,39.56478,-120.37826,32.929,0.65
27,2011,11,11,11,36,27.161,39.56515,-120.37859,32.891,1.48
28,2011,11,11,11,39,30.233,39.5633,-120.38024,32.93,1.56
29,2011,11,11,12,46,44.844,39.56461,-120.37806,32.925,0.66
30,2011,11,11,12,47,24.086,39.56307,-120.37927,32.932,0.73
31,2011,11,11,12,59,16.804,39.56448,-120.37817,33.006,0.62
32,2011,11,11,15,46,47.295,39.56418,-120.3772,32.997,0.73
33,2011,11,11,20,9,35.008,39.57135,-120.38084,33.176,1.31
34,2011,11,14,2,49,15.176,39.57234,-120.36259,34.301,0.69
35,2011,11,14,4,45,54.304,39.57309,-120.36341,34.301,0.84
36,2011,11,17,19,43,10.647,39.57354,-120.36175,34.428,0.97
37,2011,12,30,19,53,23.2,39.5618,-120.37902,32.752,0.79
38,2012,1,3,9,0,48.184,39.57185,-120.38261,32.938,0.8
39,2012,1,3,19,9,56.003,39.57862,-120.3819,33.329,0.48
40,2012,1,3,23,34,55.167,39.57811,-120.3818,33.442,1.15
41,2012,1,4,1,55,37.52,39.57902,-120.38382,33.369,1.15
42,2012,1,6,8,40,17.846,39.57918,-120.38152,33.581,0.18
